Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
Mohawk Mt.,MOMO1,IMPAER,US,CT,09005,090050005,41.8214,-73.2973,521,09/13/2001,02/27/2020,NA,Unknown,NA,"Observation Tower, 10 mi W of Torrington, CT, Mohawk Mountain",STATE,IMPROVE,1
Monture,MONT1,IMPAER,US,MT,30077,300779000,47.1222,-113.1544,1282,03/29/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Moosehorn NWR,MOOS1,IMPAER,US,ME,23029,230291004,45.1259,-67.2661,77,12/03/1994,02/27/2020,NA,Unknown,NA,"McConvey Rd, about 1 mi NE of NWR Baring Unit HQ",FWS,IMPROVE,1
Mount Baldy,BALD1,IMPAER,US,AZ,04001,040018001,34.0584,-109.4406,2508,03/01/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Mount Hood,MOHO1,IMPAER,US,OR,41005,410050010,45.2888,-121.7837,1531,03/15/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Mount Rainier NP,MORA1,IMPAER,US,WA,53053,530530014,46.7583,-122.1244,439,03/02/1988,02/27/2020,NA,Unknown,NA,"Park HQ, Tahoma Woods, Ashford, WA",NPS,IMPROVE,1
Mount Zirkel Wilderness,MOZI1,IMPAER,US,CO,08057,080579000,40.5383,-106.6766,3243,06/01/1994,02/27/2020,NA,Unknown,NA,"Buffalo Pass, NE of Steamboat Springs, CO, DRI Storm Peak/ Mount Werner Facility",USFS,IMPROVE,1
Nebraska NF,NEBR1,IMPAER,US,NE,31171,311719000,41.8888,-100.3387,883,06/01/2002,02/27/2020,NA,NA,NA,NA,STATE,IMPROVE,1
Nogales,NOGA1,IMPAER,US,AZ,04023,NA,31.33745,-110.93715,1172,10/27/2015,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
North Absaroka,NOAB1,IMPAER,US,WY,56029,560299002,44.7448,-109.3816,2482,01/26/2000,02/27/2020,NA,Unknown,NA,"Dead Indian Summit, NW of Cody, WY",USFS,IMPROVE,1
North Birmingham,BIRM1,IMPAER,US,AL,01073,010730023,33.5531,-86.8148,175,03/01/2004,02/27/2020,NA,NA,NA,NA,STM,IMPROVE,1
North Cascades,NOCA1,IMPAER,US,WA,53073,530730022,48.7316,-121.0646,568,07/30/1997,02/27/2020,NA,Unknown,NA,Ross Dam,NPS,IMPROVE,1
Northern Cheyenne,NOCH1,IMPAER,US,MT,30087,300870762,45.6495,-106.5574,1283,06/01/2002,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Okefenokee NWR,OKEF1,IMPAER,US,GA,13049,130499000,30.7405,-82.1283,48,09/04/1991,02/27/2020,NA,Unknown,NA,"Headquarters, 3-4 mi W of GA Rt. 121",FWS,IMPROVE,1
Old Town,OLTO1,IMPAER,US,ME,23019,230194003,44.9334,-68.6457,51,06/27/2001,05/29/2006,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Olympic,OLYM1,IMPAER,US,WA,53009,530090020,48.0065,-122.9727,599,07/12/2001,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,2
Omaha,OMAH1,IMPAER,US,NE,31173,311739000,42.1487,-96.4318,429,06/02/2003,08/04/2008,NA,NA,NA,NA,TRIBE,IMPROVE,1
Organ Pipe,ORPI1,IMPAER,US,AZ,04019,040190005,31.9506,-112.8016,504,12/01/2002,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Owens Valley,OWVL1,IMPAER,US,CA,06027,NA,37.3607,-118.3308,1234,06/27/2013,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Pack Monadnock Summit,PACK1,IMPAER,US,NH,33011,NA,42.8619,-71.8786,695,10/03/2007,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Pasayten,PASA1,IMPAER,US,WA,53047,530470012,48.3877,-119.9275,1627,11/02/2000,02/27/2020,NA,Unknown,NA,"Loup-loup ski area, Hwy 20 E of Twisp, WA",USFS,IMPROVE,1
Penobscot,PENO1,IMPAER,US,ME,23019,NA,44.94798,-68.64786,45,01/11/2006,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Petersburg,PETE1,IMPAER,US,AK,02280,022809000,56.61076,-132.81234,0,07/02/2004,09/28/2009,NA,NA,NA,NA,USFS,IMPROVE,1
Petrified Forest NP,PEFO1,IMPAER,US,AZ,04017,040170119,35.0777,-109.7692,1766,03/02/1988,02/27/2020,NA,Unknown,NA,1 mile N of Park Headquarters,NPS,IMPROVE,1
Phoenix,PHOE1,IMPAER,US,AZ,04013,040139997,33.5038,-112.0958,342,04/19/2001,02/27/2020,NA,Unknown,NA,NA,EPA,IMPROVE,1
Phoenix Colocated Sampler,PHOE5,IMPAER,US,AZ,04013,NA,33.5038,-112.0958,342,01/01/2005,02/27/2020,Unknown,Unknown,NA,NA,EPA,IMPROVE,2
Pinnacles NM,PINN1,IMPAER,US,CA,06069,060690003,36.4833,-121.1568,302,03/02/1988,02/27/2020,NA,Unknown,NA,"1/2 mile SW of Pinnacles, E entrance",NPS,IMPROVE,1
Point Reyes National Seashore,PORE1,IMPAER,US,CA,06041,060410002,38.1224,-122.9085,97,03/02/1988,02/27/2020,NA,Unknown,NA,North District Ranger Station,NPS,IMPROVE,1
